,title,partial_link,full_link,outlinks,word_count
0,Life is Short,vb.html,http://paulgraham.com/vb.html,['addiction.html'],1675.0
1,Do Things that Don't Scale,ds.html,http://paulgraham.com/ds.html,"['http://ycombinator.com/apply.html', 'growth.html', 'startupideas.html', 'hw.html', 'https://sep.yimg.com/ty/cdn/paulgraham/eric.jpg?t=1601888099&']",4355.0
2,The Refragmentation,re.html,http://paulgraham.com/re.html,"['growth.html', 'https://books.google.com/ngrams/graph?content=well-adjusted&year_start=1800&year_end=2000&corpus=15&smoothing=3', 'ineq.html', 'ds.html']",7188.0
3,Write Simply,simply.html,http://paulgraham.com/simply.html,['https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=hermeneutic+dialectics+hegemonic+modalities'],509.0
4,Donate Unrestricted,donate.html,http://paulgraham.com/donate.html,[],485.0
5,What I Worked On,worked.html,http://paulgraham.com/worked.html,"['think.html', 'ds.html', 'kids.html', 'growth.html', 'yahoo.html', 'essay.html', 'marginal.html', 'https://www.amazon.com/Founders-Work-Stories-Startups-Early/dp/1430210788', 'summerfounder.html', 'know.html', 'bel.html', 'useful.html']",13810.0
6,Earnestness,earnest.html,http://paulgraham.com/earnest.html,"['genius.html', 'nerds.html', 'https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=hermeneutic+dialectics+hegemonic+phenomenology+intersectionality', 'ecw.html', 'jessica.html', 're.html']",1669.0
7,Billionaires Build,ace.html,http://paulgraham.com/ace.html,"['https://boomsupersonic.com/', 'startupideas.html', 'genius.html', 'growth.html']",3424.0
8,How to Think for Yourself,think.html,http://paulgraham.com/think.html,['useful.html'],628.0
9,Early Work,early.html,http://paulgraham.com/early.html,"['altair.html', 'swan.html']",842.0
10,Modeling a Wealth Tax,wtax.html,,,
11,The Four Quadrants of Conformism,conformism.html,,,
12,Orthodox Privilege,orth.html,,,
13,Coronavirus and Credibility,cred.html,,,
14,How to Write Usefully,useful.html,,,
15,Being a Noob,noob.html,,,
16,Haters,fh.html,,,
17,The Two Kinds of Moderate,mod.html,,,
18,Fashionable Problems,fp.html,,,
19,Having Kids,kids.html,,,
20,The Lesson to Unlearn,lesson.html,,,
21,Novelty and Heresy,nov.html,,,
22,The Bus Ticket Theory of Genius,genius.html,,,
